Application,Metric,Baseline,OSCAR,Shortcut,FTBY,FTBY_PG,Adapt-NoC-noRL,Adapt-NoC
BFS,Hop_Count,1.00,1.00,0.48,0.70,0.45,0.45,0.55
GA,Hop_Count,1.00,1.00,0.48,0.75,0.58,0.48,0.55
NW,Hop_Count,1.00,0.98,0.50,0.72,0.48,0.50,0.60
Average,Hop_Count,1.00,0.99,0.49,0.72,0.50,0.48,0.57
HW,Hop_Count,1.00,1.02,0.58,0.90,0.75,0.68,0.80
KM,Hop_Count,1.00,1.05,0.52,0.85,0.80,0.50,0.82
BP,Hop_Count,1.00,1.00,0.60,0.82,0.78,0.62,0.80
HS,Hop_Count,1.00,1.00,0.55,0.78,0.70,0.48,0.72
Average_Queuing,Queuing_Latency,1.00,1.00,0.56,0.84,0.76,0.57,0.79
