Mechanism Stage,Decision Variables,Algorithm Parameters,Performance Metrics,Power Analysis,Load Balance Index
Packet-Particle Creation,"4D_position={pos[0]=0.785±0.075,pos[1]=0.318±0.094,pos[2]=0.215±0.075,pos[3]=0.878±0.113}, types={0: 1927, 1: 73}","avg_fitness=1000.0, routers=16","total_packets=2000, unique_packets=377",particle_initialization=0.002µW,router_distribution=16/16
Collaborative Multi-Group Search,"groups=5, avg_candidates=1.3","avg_fitness=13986.09, group_distribution={1: 435, 0: 604, 4: 663, 3: 202, 2: 96}","search_events=2000, computation_time=0.0",collaborative_overhead,multi_group_fairness
MVPP_MGC_PSO Algorithm Efficiency,"guidance_rate=0.00%, collaborative_rate=100.00%","total_decisions=2000, algorithm_coverage=100%","guidance_events=0, search_events=2000",total_algorithm_overhead,overall_fairness_score
